song,artist,id
Happy,Pharrell Williams,6NPVjNh8Jhru9xOmyQigds
Dark Horse,Katy Perry featuring Juicy J,5jrdCoLpJSvHHorevXBATy
All of Me,John Legend,3U4isOIWM3VvDubwSI3y7a
Fancy,Iggy Azalea featuring Charli XCX,3oiMJQAWVaxSubJ7b2VUtX
Counting Stars,OneRepublic,6sy3LkhNFjJWlaeSMNwQ62
Talk Dirty,Jason Derulo featuring 2 Chainz,6g6A7qNhTfUgOSH7ROOxTD
Rude,Magic!,3tCwjWLicbjsMCvXhN0WOE
All About That Bass,Meghan Trainor,0ifSeVGUr7py5GggttDhXw
Problem,Ariana Grande featuring Iggy Azalea,7vS3Y0IKjde7Xg85LWIEdP
Stay with Me,Sam Smith,5Db9VIdDsN5yu3Eu7CT0i4
Timber,Pitbull featuring Kesha,3cHyrEgdyYRjgJKSOiOtcS
Pompeii,Bastille,3gbBpTdY8lnQwqxNCcf795
Shake It Off,Taylor Swift,5xTtaWoae3wi06K5WfVUUH
Am I Wrong,Nico & Vinz,2wqaekenSQZm7hxQOYt8oE
Turn Down for What,DJ Snake and Lil Jon,67awxiNHNyjMXhVgsHuIrs
The Monster,Eminem featuring Rihanna,48RrDBpOSSl1aLVCalGl5C
Say Something,A Great Big World and Christina Aguilera,6Vc5wAMmXdKIAM7WUoEb7N
Team,Lorde,3G6hD9B2ZHOsgf4WfNu7X1
Let Her Go,Passenger,6GmUVqe73u5YRfUUynZK6I
Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3
Let It Go,Idina Menzel,0qcr5FMsEO85NAQjrlDRKo
Wake Me Up,Avicii,4h8VwCb1MTGoLKueQ1WgbD
Demons,Imagine Dragons,3LlAyCYU26dvFZBDUIMb7a
Story of My Life,One Direction,4nVBt6MZDDP6tRVdQTgxJg
Chandelier,Sia,2s1sdSqGcKxpPr5lCl7jAV
Black Widow,Iggy Azalea featuring Rita Ora,7pNC5ZIKtwUK0ReSpM3P9f
Bang Bang,"Jessie J, Ariana Grande, and Nicki Minaj",466s1BacUmiRdR3ISvNjyx
Latch,Disclosure featuring Sam Smith,1BltsyC5W3SAABdxyrDXwi
Maps,Maroon 5,4gbVRS8gloEluzf0GzDOFc
Loyal,"Chris Brown featuring Lil Wayne and French Montana, Too Short, or Tyga",7kqcudBGM74MXVoYMaoWkC
Best Day of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP
Habits (Stay High),Tove Lo,14OxJlLdcHNpgsm4DRwDOB
Summer,Calvin Harris,6YUTL4dYpB9xZO5qExPf05
Boom Clap,Charli XCX,0Y1MWB026LYxGvhq4EcMiC
Drunk in Love,Beyoncé featuring Jay Z,6jG2YzhxptolDzLHTGLt7S
Anaconda,Nicki Minaj,794F99D5BQHS5ZGRXAs7I5
Break Free,Ariana Grande featuring Zedd,12KUFSHFgT0XCoiSlvdQi4
Bailando,Enrique Iglesias featuring Descemer Bueno and Gente de Zona,32lm3769IRfcnrQV11LO4E
Burn,Ellie Goulding,0xMd5bcWTbyXS7wPrBtZA6
Wiggle,Jason Derulo featuring Snoop Dogg,2sLwPnIP3CUVmIuHranJZU
Rather Be,Clean Bandit featuring Jess Glynne,3s4U7OHV7gnj42VV72eSZ6
Don't Tell 'Em,Jeremih featuring YG,0Dc7J9VPV4eOInoxUiZrsL
Show Me,Kid Ink featuring Chris Brown,7uc39NPTNiu86GQxTUMzGT
Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE
Not a Bad Thing,Justin Timberlake,1JmPASoql4lnXimD5ICqRP
Roar,Katy Perry,6F5c58TMEs1byxUstkzVeM
Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa
The Man,Aloe Blacc,2stPxcgjdSImK7Gizl8ZUN
This Is How We Roll,Florida Georgia Line featuring Luke Bryan,2TR7A4ulH9R1PNwMyd8o8U
Classic,MKTO,6FE2iI43OZnszFLuLtvvmg
A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ
Don't,Ed Sheeran,1huvTbEYtgltjQRXzrNKGi
Na Na,Trey Songz,5maiP9UMnTSgoxPX8X3bdz
Hot Boy,Bobby Shmurda,0rFke7eNFHbGuGJUdRgjB2
"Hold On, We're Going Home",Drake featuring Majid Jordan,14Rcq31SafFBHNEwXrtR2B
Sing,Ed Sheeran,6K8qKeWo5MsFED7wCR6Kop
Radioactive,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp
My Hitta,YG featuring Jeezy and Rich Homie Quan,5G47DlluL671zo0k3OhoSm
Cool Kids,Echosmith,13P5rwmk2EsoFRIz9UCeh9
Hey Brother,Avicii,4RXpgGM7A4Hg7cFBoH5KyF
Trumpets,Jason Derulo,5KONnBIQ9LqCxyeSPin26k
Animals,Maroon 5,2bL2gyO6kBdLkNSkxXNh6x
Burnin' It Down,Jason Aldean,5HJqpDspKDKwQpLjvkcIsD
Play It Again,Luke Bryan,03fT3OHB9KyMtGMt2zwqCT
2 On,Tinashe featuring ScHoolboy Q,3jVtllWS5CFFWLQng8sKsr
Dirt,Florida Georgia Line,5CXnIPD6rTjszYYQm6fY2P
Love Runs Out,OneRepublic,5BJSZocnCeSNeYMj3iVqM7
Bottoms Up,Brantley Gilbert,477pWnF7WFWb9Qs6g8rs4J
Shower,Becky G,3DmW6y7wTEYHJZlLo1r6XJ
Me and My Broken Heart,Rixton,1oew3nFNY3vMacJAsvry0S
Animals,Martin Garrix,65G7XDGcybJiGywSCXJiL5
Lifestyle,Rich Gang featuring Young Thug and Rich Homie Quan,7DTlsMOQjGysXHpwwpHuPl
American Kids,Kenny Chesney,1dgWTMoHwTUnQhOQ8SR5fV
Brave,Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6
Leave the Night On,Sam Hunt,3wx2kQWPn9p5UppQbNhPAk
New Flame,Chris Brown featuring Usher and Rick Ross,3nw9J97nUugT84SIJdjhAV
Love Never Felt So Good,Michael Jackson and Justin Timberlake,48td6xvpokdYwvbl3JIiXP
Drunk on a Plane,Dierks Bentley,1soxUgYIZb1qx1c7o1Lc7z
Birthday,Katy Perry,2xLOMHjkOK8nzxJ4r6yOKR
Bartender,Lady Antebellum,6olKv2HP3XgBpvVxAswowe
La La La,Naughty Boy featuring Sam Smith,36pLU2ywVeBKEF0rrKtmCB
Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,0n4bITAu0Y0nigrz3MFJMb
Do What U Want,Lady Gaga featuring R. Kelly,44JqKUXiWTaRrDQUx7CwsT
Can't Remember to Forget You,Shakira featuring Rihanna,41dwfdVGLtjXxIKE65yUWP
