song,artist,id
Thrift Shop,Macklemore and Ryan Lewis featuring Wanz,1CmUZGtH29Kx36C1Hleqlz
Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,0n4bITAu0Y0nigrz3MFJMb
Radioactive,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp
Harlem Shake,Baauer,01XFgRZfZI7oBagNf1Loml
Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton,3bidbhpOYeV4knp8AIu8Xn
Mirrors,Justin Timberlake,6aGwF9D2BqmcSzF0JpfzJu
Just Give Me a Reason,Pink featuring Nate Ruess,4VC5nFbYO4avKksJ9jN4pY
When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh
Cruise,Florida Georgia Line featuring Nelly,0i5el041vd6nxrGEU8QRxy
Roar,Katy Perry,6F5c58TMEs1byxUstkzVeM
Locked Out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh
Ho Hey,The Lumineers,0W4Kpfp1w2xkY3PrV714B7
Stay,Rihanna featuring Mikky Ekko,1dEy9Pl81QopSxNsPxXQxv
Get Lucky,Daft Punk featuring Pharrell Williams,2Foc5Q5nqNiosCNqttzHof
Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3
I Knew You Were Trouble,Taylor Swift,72jCZdH0Lhg93z6Z4hBjgj
We Can't Stop,Miley Cyrus,2y4lAQpi5VTNLu2ldeTdUH
Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE
Wake Me Up,Avicii,4h8VwCb1MTGoLKueQ1WgbD
Suit & Tie,Justin Timberlake featuring Jay-Z,6dEnpbXyamib2EJnRhTt0G
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2sCl0FFOzZSmYZs90zOpd1
Holy Grail,Jay Z featuring Justin Timberlake,1olNHIIVl4EVwIEPGYIR7G
Scream & Shout,will.i.am featuring Britney Spears,5r6YGzvr9oZGVK6QVbh0HB
Clarity,Zedd featuring Foxes,60wwxj6Dd9NJlirf84wr2c
Sail,Awolnation,5xhQChGGhKLWqBqX4XhtYE
Don't You Worry Child,Swedish House Mafia featuring John Martin,2V65y3PX4DkRhy1djlxd9p
Diamonds,Rihanna,7Kt59L2ZZGtOnIhvMwzG6f
I Love It,Icona Pop featuring Charli XCX,3VZQshi4COChhXaz7cLP02
Safe and Sound,Capital Cities,6Z8R6UsFuGXGtiIxiD8ISb
Treasure,Bruno Mars,55h7vJchibLdUkxdlX3fK7
The Way,Ariana Grande featuring Mac Miller,06EL94D0TA27Ik0Ke5usbj
Started from the Bottom,Drake,6V2D8Lls36APk0THDjBDfE
Come & Get It,Selena Gomez,6LoQHIo74tOzQ8EsLEkhgF
"Hold On, We're Going Home",Drake featuring Majid Jordan,14Rcq31SafFBHNEwXrtR2B
Daylight,Maroon 5,6TwfdLbaxTKzQi3AgsZNzx
Feel This Moment,Pitbull featuring Christina Aguilera,0Hf4aIJpsN4Os2f0y0VqWl
Applause,Lady Gaga,2Zj4FUsMtu9PMuJsHbGbdv
One More Night,Maroon 5,4XNrMwGx1SqP01sqkGTDmo
Love Me,Lil Wayne featuring Drake and Future,7tGlzXJv6GD5e5qlu5YmDg
My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,7s0lDK7y3XLmI7tcsRAbW0
Fuckin' Problems,"A$AP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",4XoP1AkbOurU9CeZ2rMEz2
Beauty and a Beat,Justin Bieber featuring Nicki Minaj,190jyVPHYjAqEaOGmMzdyk
Same Love,Macklemore and Ryan Lewis featuring Mary Lambert,01uqI4H13Gsd8Lyl1EYd8H
Sweet Nothing,Calvin Harris featuring Florence Welch,24LS4lQShWyixJ0ZrJXfJ5
Summertime Sadness,Lana Del Rey and Cédric Gervais,6PUIzlqotEmPuBfjbwYWOB
Home,Phillip Phillips,2ZQyksYO4zzhyHNcueL0CP
It's Time,Imagine Dragons,6BtmXhTJMM9sBTHeYYASGz
Power Trip,J. Cole featuring Miguel,7FOJvA3PxiIU0DN3JjQ7jT
Girl on Fire,Alicia Keys,4esOae7i4rqTbAu9o5Pxco
Heart Attack,Demi Lovato,1V6gIisPpYqgFeWbMLI0bA
Love Somebody,Maroon 5,0HnaqUxvHP5LaWdmWwJpiS
I Will Wait,Mumford & Sons,2JHBMVs8E7bJJBLkXpKgHn
Try,Pink,01DSvNTUsVROjnSF5j3UbD
Wagon Wheel,Darius Rucker,3xdjjKMcMOFgo1eQrfbogM
Gangnam Style,Psy,03UrZgTINDqvnUMbbIMhql
I Need Your Love,Calvin Harris featuring Ellie Goulding,05SBRd4fXgn8FX7bf8BCAE
Die Young,Kesha,6mnjcTmK8TewHfyOp3fC9C
Some Nights,Fun,6t6oULCRS6hnI7rm0h5gwl
Bad,Wale featuring Tiara Thomas,64Nbnw22f8adeMuLd1nSBD
Boys 'Round Here,Blake Shelton featuring Pistol Annies and Friends,39FwE8edwuyiaa4PrGBkP7
"Gone, Gone, Gone",Phillip Phillips,5L79aNYCTKiZq7vaOElXYj
Demons,Imagine Dragons,3LlAyCYU26dvFZBDUIMb7a
Counting Stars,OneRepublic,6sy3LkhNFjJWlaeSMNwQ62
I Cry,Flo Rida,4bZd0nRuX8HyjeXAUBczvm
Little Talks,Of Monsters and Men,3a2tuvXCHbW5nuUckuHkKT
The Other Side,Jason Derulo,5FljCWR0cys07PQ9277GTz
Berzerk,Eminem,6Xk7PnitV9jCRorWt2LiVZ
Catch My Breath,Kelly Clarkson,5qxPabNDnJQ551Tf4v6k3j
Crash My Party,Luke Bryan,6GBUsjHfZuweYf5lQEz6mP
Pour It Up,Rihanna,76VtA90NKurNqaQpV126Ue
22,Taylor Swift,3bIxTsfeNMO7Nt2J3EUKrA
I Want Crazy,Hunter Hayes,2tC3NZsLgXr9CXvOKon19c
The Fox (What Does the Fox Say?),Ylvis,5HOpkTTVcmZHnthgyxrIL8
Best Song Ever,One Direction,5T7ZFtCcOgkpjxcuaeZbw0
The A Team,Ed Sheeran,1VdZ0vKfR5jneCmWIUAMxK
Carry On,Fun,7gpy7sfWPNuOKmUNs3XQYE
Highway Don't Care,Tim McGraw featuring Taylor Swift and Keith Urban,4wFUdSCer8bdQsrp1M90sa
That's My Kind of Night,Luke Bryan,5HGibWoxnkYSkl6mHmAlOE
Swimming Pools (Drank),Kendrick Lamar,6REbwUNlppTfcnV4d4ZoZi
Sure Be Cool If You Did,Blake Shelton,2byuMQoY8GFXEQ5z3GnXyW
#Beautiful,Mariah Carey featuring Miguel,4wBRAwvddxf90vN9BTdG2e
Troublemaker,Olly Murs featuring Flo Rida,0gRczqVHrEQQDyizJUtgRc
Body Party,Ciara,0rFZaQ4crlGAzuCjWCQ2xu
Adorn,Miguel,25cUhiAod71TIQSNicOaW3
Hall of Fame,The Script featuring will.i.am,1X1DWw2pcNZ8zSub3uhlNz
Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,1Ejsu5JglwIgrFW7Bt2GuL
U.O.E.N.O.,Rocko featuring Future and Rick Ross,0HFrCOmhCYXlv4NdEwRAuj
Next to Me,Emeli Sandé,1Xsxp1SEOxuMzjrFZhtw8u
Mama's Broken Heart,Miranda Lambert,2mXsZsJBThTaJXbNcg5QD4
It Goes Like This,Thomas Rhett,1S1u0ausWGi2msWnuQgTCY
Bugatti,Ace Hood featuring Future and Rick Ross,0uFvvXbmGIXlf5ZgtHyYpf
Wanted,Hunter Hayes,0p1BcEcYVO3uk4KDf3gzkY
Downtown,Lady Antebellum,4kY7rYtE4OQkJNq22OIYRI
Get Your Shine On,Florida Georgia Line,6s9ICeczYOfbHHIaSMq9jd
#thatPower,will.i.am featuring Justin Bieber,01TuObJVd7owWchVRuQbQw
