song,artist,id
How Far I'll Go,Auli'i Cravalho,6mb6lVLNrcUgLnEN8QnDJd
Black SpiderMan,Logic feat. Damian Lemar Hudson,7BKUWh5sdtdS17crohRe4L
You're Still My Sugar,Maddie Ross,4xHvcF6L3F4rtdyFKEkr4X
Second One to Know,Chris Stapleton,0oTGa77jJ1H5joTG5SvxFj
Love,Lana Del Rey,2Kerz9H9IejzeIpjhDJoYG
Ella,Ricardo Arjona,7hydwXc3IVJIItIif6ZuLH
iSpy,Kyle feat. Lil Yachty,2EEeOnHehOozLq4aS0n6SL
Most Girls,Hailee Steinfeld,10GJQkjRJcZhGTLagFOC62
Down,Marian Hill,5eCkuGPZNl4mISFNPgr3Dd
Don't Kill My Vibe,Sigrid,2IOViM71uj8xksoqLb8TCm
Chained to the Rhythm,Katy Perry feat. Skip Marley,5tP2TrJDgXXxAHZwcOknOI
For My People,Joey Bada$$,5URYXSFGks9Q8eYePlgVdL
Every Single Night,Computer Games,71erjKYTDsvcuGKP5lp3Uc
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU
Tunnel Vision,Kodak Black,4Q3N4Ct4zCuIHuZ65E3BD4
Body Like a Back Road,Sam Hunt,7mldq42yDuxiUNn08nvzHO
Up Against Me,LP,6aAHtvwGUJIIFcczWauwWc
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3
Magnolia,Playboi Carti,1e1JKLEDKP7hEQzJfNAgPl
Rockabye,Clean Bandit feat. Anne-Marie & Sean Paul,5knuzwU65gJK7IF5yJsuaW
Chanel,Frank Ocean,6Nle9hKrkL1wQpwNfEkxjh
(No One Knows Me) Like the Piano,Sampha,5zOnoB8FdZudDcPX4O8WqF
Bad and Boujee,Migos feat. Lil Uzi Vert,4Km5HrUvYTaSUfiSGPJeQR
North East South West,Japandroids,1hB1x77QvlXC10hvqaBd36
It Ain't Me,Kygo & Selena Gomez,677RjvAT2lpYjo1Whczjzx
Redbone,Childish Gambino,3kxfsdsCpFgN412fpnW85Y
Cut to the Feeling,Carly Rae Jepsen,6EJiVf7U0p1BBfs0qqeb1f
Slow Hands,Niall Horan,27vTihlWXiz9f9lJM3XGVU
Pure Comedy,Father John Misty,4kM5lBwpG1DEH9FNTsOyGP
Want You Back,Haim,2wXhdaTnmkkFSOidKfnOxA
HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS
Stay,Zedd & Alessia Cara,6uBhi9gBXWjanegOb2Phh0
I Know a Place,Muna,0bPSRn4crnh5f1JhELPlyL
The Cure,Lady Gaga,34oB5r0lcN3fYWCs2uA1k5
Issues,Julia Michaels,7vu0JkJh0ldukEYbTVcqd0
Mask Off,Future,0VgkVdmE4gld66l8iyGjgx
Malibu,Miley Cyrus,2habSXqcJGExM6JJyskY7O
I'm the One,"DJ Khaled feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne",1jYiIOC5d6soxkJP81fxq2
Hard Times,Paramore,0w5Bdu51Ka25Pf3hojsKHh
Bad Liar,Selena Gomez,2fZQIJew3nkNe99s2PKzul
I Feel It Coming,The Weeknd feat. Daft Punk,3dhjNA0jGA8vHBQ1VdD6vV
Location,Khalid,152lZdxL1OR0ZMW6KquMif
XO Tour Llif3,Lil Uzi Vert,2eMwDehkIC1j68U6FA3Eiq
DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj
Sign of the Times,Harry Styles,5Ohxk2dO5COHF1krpoPigN
Green Light,Lorde,3I4QOvltiKcMu3xmnQjEct
Despacito (Remix),Luis Fonsi & Daddy Yankee feat. Justin Bieber,6rPO02ozF3bM7NnOV4h6s2
Passionfruit,Drake,5mCPDVBb16L4XQwDdbRUpz
Slide,Calvin Harris feat. Frank Ocean & Migos,6gpcs5eMhJwax4mIfKDYQk
