song,artist,id
Somebody That I Used to Know,Gotye featuring Kimbra,4wCmqSrbyCgxEXROQE6vtV
Call Me Maybe,Carly Rae Jepsen,3TGRqZ0a2l1LRblBkJoaDx
We Are Young,Fun featuring Janelle Monáe,7a86XRg84qjasly9f6bPSD
Payphone,Maroon 5 featuring Wiz Khalifa,1LmN9SSHISbtp9LoaR5ZVJ
Lights,Ellie Goulding,7gUpO6td4OOnu0Lf9vhcIV
Glad You Came,The Wanted,3AGOgQzp0YcPH41u9p7dOp
Stronger (What Doesn't Kill You),Kelly Clarkson,6D60klaHqbCl9ySc8VcRss
We Found Love,Rihanna featuring Calvin Harris,6qn9YLKt13AGvpq9jfO8py
Starships,Nicki Minaj,59RSrxkSKSixEWBAIvE5Wa
What Makes You Beautiful,One Direction,3SPDQfj2UfWq6A2NllZnzn
Wild Ones,Flo Rida featuring Sia,1NpW5kyvO4XrNJ3rnfcNy3
Set Fire to the Rain,Adele,3CKCZ9pfwAfoMZlMncA1Nc
Sexy and I Know It,LMFAO,0obBFrPYkSoBJbvHfUIhkv
Some Nights,Fun,6t6oULCRS6hnI7rm0h5gwl
Wide Awake,Katy Perry,5JLv62qFIS1DR3zGEcApRt
Good Feeling,Flo Rida,2LEF1A8DOZ9wRYikWgVlZ8
Whistle,Flo Rida,0ltBH1JNzSvQJPjJpvTu9B
One More Night,Maroon 5,4XNrMwGx1SqP01sqkGTDmo
Drive By,Train,0KAiuUOrLTIkzkpfpn9jb9
The Motto,Drake featuring Lil Wayne,49ySwzAyvxcNXOkOP6ZB1L
Where Have You Been,Rihanna,5WQQIDU3HRaMyPkob8mpFb
Everybody Talks,Neon Trees,3528IXKpbb7OMjdjWYlbfD
Take Care,Drake featuring Rihanna,4wTMBYRE6xVTIUQ6fEudsJ
Titanium,David Guetta featuring Sia,77TT8Xvx637TpzV8kKGkUw
I Won't Give Up,Jason Mraz,05pKAafT85jeeNhZ6kq7HT
It Will Rain,Bruno Mars,4rMNgxEwGWoPHIUcvB5BrB
Mercy,"Kanye West, Big Sean, Pusha T and 2 Chainz",4qikXelSRKvoCqFcHLB2H2
Boyfriend,Justin Bieber,0171XsIM2xyeXRr6wsugEI
Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,0IkKz2J93C94Ei4BvDop7P
Too Close,Alex Clare,4sK96UnGx3NjBaqvfTG2dm
Part of Me,Katy Perry,1nZzRJbFvCEct3uzu04ZoL
"Young, Wild & Free",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,5HQVUIKwCEXpe7JIHyY734
