song,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Thrift Shop,Macklemore and Ryan Lewis featuring Wanz,1CmUZGtH29Kx36C1Hleqlz,0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,235613,4
Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,0n4bITAu0Y0nigrz3MFJMb,0.862,0.608,7,-4.762,1,0.0402,0.00373,6.14E-06,0.0856,0.836,120.002,263827,4
Radioactive,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp,0.478,0.799,9,-3.614,1,0.0638,0.126,0.000106,0.76,0.176,136.268,186813,4
Harlem Shake,Baauer,01XFgRZfZI7oBagNf1Loml,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,196664,4
Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,258343,4
Mirrors,Justin Timberlake,6aGwF9D2BqmcSzF0JpfzJu,0.585,0.641,2,-7.428,1,0.0319,0.011,0,0.115,0.392,139.992,218396,4
Just Give Me a Reason,Pink featuring Nate Ruess,4VC5nFbYO4avKksJ9jN4pY,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,213827,4
Cruise,Florida Georgia Line featuring Nelly,0i5el041vd6nxrGEU8QRxy,0.464,0.945,10,-3.342,1,0.0354,0.0189,0,0.0575,0.877,148.012,208960,4
Roar,Katy Perry,6F5c58TMEs1byxUstkzVeM,0.671,0.766,7,-4.81,0,0.0323,0.00569,6.85E-06,0.549,0.371,89.968,223546,4
Locked Out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,233478,4
Ho Hey,The Lumineers,0W4Kpfp1w2xkY3PrV714B7,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06E-06,0.0915,0.353,79.936,163133,4
Stay,Rihanna featuring Mikky Ekko,1dEy9Pl81QopSxNsPxXQxv,0.619,0.324,9,-10.146,0,0.0271,0.949,5.42E-05,0.114,0.0965,111.927,240707,4
Get Lucky,Daft Punk featuring Pharrell Williams,2Foc5Q5nqNiosCNqttzHof,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07E-06,0.101,0.862,116.047,248413,4
Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3,0.616,0.432,7,-9.546,1,0.133,0.106,0,0.132,0.302,84.778,190185,4
I Knew You Were Trouble,Taylor Swift,72jCZdH0Lhg93z6Z4hBjgj,0.596,0.473,6,-6.745,1,0.039,0.00563,1.29E-06,0.043,0.648,154.228,217973,4
We Can't Stop,Miley Cyrus,2y4lAQpi5VTNLu2ldeTdUH,0.613,0.622,1,-5.794,0,0.0334,0.00882,0,0.37,0.484,80.003,231240,4
Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,5,-6.262,1,0.0342,0.407,0,0.107,0.349,119.964,221360,4
