song,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Uptown Funk,Mark Ronson featuring Bruno Mars,32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4
Thinking Out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4
See You Again,Wiz Khalifa featuring Charlie Puth,2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229526,4
Trap Queen,Fetty Wap,2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,222093,4
Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,0.751,0.768,1,-7.089,1,0.0346,0.052,0.0,0.0848,0.881,120.084,235493,4
Shut Up and Dance,Walk the Moon,4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,4
Blank Space,Taylor Swift,1p80LdxRV74UKvL8gnD7ky,0.751,0.684,5,-5.448,1,0.0679,0.0847,0.0,0.0737,0.597,95.979,231827,4
Watch Me,Silentó,5RIVoVdkDLEygELLCniZFr,0.825,0.77,8,-8.508,1,0.134,0.265,0.0,0.334,0.965,139.982,185131,4
Earned It,The Weeknd,2PIvq1pGrUjY007X5y1UpM,0.664,0.371,2,-5.959,0,0.0306,0.404,0.0,0.0971,0.429,119.95,252227,3
The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB,0.54,0.561,0,-6.987,0,0.0699,0.0635,0.0,0.137,0.107,113.295,242253,4
Cheerleader,OMI,023OVLNzXhX0j7CxswUt6D,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,180560,4
Can't Feel My Face,The Weeknd,22VdIZQfgXJea34mQxlt81,0.711,0.783,9,-5.407,0,0.0423,0.109,0.0,0.0947,0.587,107.972,213520,4
Love Me Like You Do,Ellie Goulding,2l8w0zZVn4AZNuzrht7MRT,0.254,0.617,5,-6.612,0,0.0537,0.24,0.0,0.125,0.255,189.425,252534,4
Take Me to Church,Hozier,0aOluBqXYd0rFSCsgDyAWX,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241693,4
Bad Blood,Taylor Swift featuring Kendrick Lamar,6xsEAm6w9oMQYYg3jkEkMT,0.64,0.647,2,-7.463,1,0.181,0.0296,0.0,0.146,0.21,170.088,200106,4
Lean On,Major Lazer and DJ Snake featuring MØ,5wldXGLEOoRXxMWJ8rIUWE,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,4
Want to Want Me,Jason Derulo,7oGZAicScQt96OAW4AruYy,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,207719,4
Shake It Off,Taylor Swift,5xTtaWoae3wi06K5WfVUUH,0.653,0.799,7,-5.359,1,0.163,0.0577,0.0,0.221,0.945,160.017,219200,4
Where Are Ü Now,Skrillex and Diplo featuring Justin Bieber,66hayvUbTotekKU3H4ta1f,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,250286,4
Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,204013,4
679,Fetty Wap featuring Remy Boyz,5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,196693,4
Lips Are Movin,Meghan Trainor,6gj08XDlv9Duc2fPOxUmVD,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,182667,4
Worth It,Fifth Harmony featuring Kid Ink,41Fflg7qHiVOD6dEPvsCzO,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,224573,4
Post to Be,Omarion featuring Chris Brown and Jhené Aiko,0fgZUSa7D7aVvv3GfO0A1n,0.733,0.676,10,-5.655,0,0.0432,0.0697,0.0,0.208,0.701,97.448,226581,4
"Honey, I'm Good.",Andy Grammer,4orphgwPHHRsdEkfUmANSD,0.753,0.796,9,-6.406,1,0.0576,0.0378,0.0,0.331,0.605,122.025,199263,4
I'm Not the Only One,Sam Smith,0fioLzGM8ngbD1w6fMmm45,0.453,0.496,5,-5.785,1,0.0453,0.554,2.65e-05,0.0772,0.501,80.994,239317,4
Good for You,Selena Gomez featuring ASAP Rocky,578Eooad7oUyn4stovZiPg,0.602,0.673,5,-6.44,0,0.0691,0.164,0.0,0.0645,0.253,88.981,221280,4
All About That Bass,Meghan Trainor,0ifSeVGUr7py5GggttDhXw,0.811,0.879,9,-3.724,1,0.0514,0.0476,1.91e-06,0.109,0.962,134.064,188754,4
Style,Taylor Swift,1fo2ctLqj3zBhRQKOXprol,0.594,0.8,7,-5.56,1,0.0377,0.00253,0.00244,0.117,0.473,95.036,231000,4
Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7,0.903,0.621,2,-8.132,1,0.0578,0.00302,0.000186,0.0504,0.553,134.969,267067,4
Hey Mama,"David Guetta featuring Nicki Minaj, Bebe Rexha, and Afrojack",5b2bu6yyATC1zMXDGScJ2d,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,192560,4
G.D.F.R.,Flo Rida featuring Sage the Gemini and Lookas,26rdOwwjC2UnweK3xeS58u,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,190186,4
What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs,0.837,0.571,5,-8.273,0,0.0922,0.61,0.000898,0.0849,0.801,125.034,205680,4
Photograph,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
Hello,Adele,0ENSn4fwAbCGeFGVUbXEU3,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,295493,4
Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT,0.592,0.752,1,-6.589,1,0.114,0.0196,0.0,0.0477,0.726,74.784,206880,4
Talking Body,Tove Lo,4K2uH46kwmTFGjNlkeFuGI,0.735,0.769,4,-5.545,0,0.0335,0.097,0.0,0.081,0.0802,120.001,238427,4
