song,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
How Far I'll Go,Auli'i Cravalho,6mb6lVLNrcUgLnEN8QnDJd,0.576,0.319,4,-10.934,1,0.0518,0.603,0.0,0.173,0.0921,83.632,163387,4
Black SpiderMan,Logic feat. Damian Lemar Hudson,7BKUWh5sdtdS17crohRe4L,0.617,0.869,1,-5.293,1,0.101,0.132,7.38e-05,0.441,0.331,139.994,331267,4
You're Still My Sugar,Maddie Ross,4xHvcF6L3F4rtdyFKEkr4X,0.705,0.806,8,-4.904,0,0.052,0.0197,0.00107,0.0907,0.565,119.982,214012,4
Second One to Know,Chris Stapleton,0oTGa77jJ1H5joTG5SvxFj,0.527,0.893,0,-6.061,0,0.0396,0.0244,0.000753,0.343,0.892,96.73,176067,4
Love,Lana Del Rey,2Kerz9H9IejzeIpjhDJoYG,0.32,0.376,10,-10.885,1,0.033,0.451,0.00198,0.11,0.225,98.132,272743,4
Ella,Ricardo Arjona,7hydwXc3IVJIItIif6ZuLH,0.335,0.763,9,-3.853,1,0.0562,0.0307,0.000106,0.0758,0.403,199.225,198040,4
iSpy,Kyle feat. Lil Yachty,2EEeOnHehOozLq4aS0n6SL,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,253107,4
Most Girls,Hailee Steinfeld,10GJQkjRJcZhGTLagFOC62,0.76,0.588,9,-7.082,1,0.0775,0.0485,0.0,0.0847,0.384,102.974,204400,4
Down,Marian Hill,5eCkuGPZNl4mISFNPgr3Dd,0.597,0.357,3,-14.718,1,0.259,0.644,0.00393,0.125,0.059,84.864,197773,4
Don't Kill My Vibe,Sigrid,2IOViM71uj8xksoqLb8TCm,0.544,0.755,10,-4.864,1,0.106,0.248,0.000156,0.244,0.289,150.013,184320,4
Chained to the Rhythm,Katy Perry feat. Skip Marley,5tP2TrJDgXXxAHZwcOknOI,0.52,0.798,0,-5.389,1,0.0944,0.0763,0.0,0.144,0.485,95.252,237734,4
For My People,Joey Bada$$,5URYXSFGks9Q8eYePlgVdL,0.672,0.704,11,-6.628,0,0.165,0.111,0.0,0.115,0.188,100.986,232765,4
